Image,R,G,B,H,S,V,pH
soil_0141.jpg,255,156,126,14.16,129.44,255.0,8.81
soil_0142.jpg,186,133,96,24.24,122.96,186.26,5.26
soil_0143.jpg,217,133,103,15.75,133.83,216.92,6.49
soil_0144.jpg,193,131,93,23.08,132.63,193.25,5.5
soil_0145.jpg,211,147,93,27.37,142.51,210.96,5.42
soil_0146.jpg,165,103,80,16.39,130.9,164.56,4.18
soil_0147.jpg,219,127,110,9.54,126.56,218.69,7.05
soil_0148.jpg,220,140,107,17.89,131.28,219.68,6.51
soil_0149.jpg,197,122,92,17.59,136.22,196.69,4.26
soil_0150.jpg,198,145,100,27.86,126.31,197.89,5.39
soil_0151.jpg,242,159,135,13.54,112.47,241.82,8.54
soil_0152.jpg,214,130,86,20.36,152.53,214.41,5.2
soil_0153.jpg,174,115,77,23.23,141.7,173.68,4.72
soil_0154.jpg,193,141,112,21.66,107.25,192.99,6.45
soil_0155.jpg,255,199,140,31.04,115.3,255.0,8.93
soil_0156.jpg,191,112,102,6.81,119.04,190.73,5.21
soil_0157.jpg,219,157,110,25.77,127.06,218.87,7.36
soil_0158.jpg,243,165,118,22.37,131.27,243.14,7.81
soil_0159.jpg,198,135,77,28.82,156.33,197.88,5.19
soil_0160.jpg,228,159,115,23.51,126.57,227.78,7.64
soil_0161.jpg,193,137,105,21.57,115.89,192.72,5.84
soil_0162.jpg,235,148,109,18.81,137.0,234.7,7.16
soil_0163.jpg,233,154,118,19.11,126.12,232.64,7.17
soil_0164.jpg,218,142,105,19.67,131.58,217.55,6.68
soil_0165.jpg,202,121,84,18.66,149.48,202.44,4.45
soil_0166.jpg,231,162,115,24.38,128.22,231.09,8.18
soil_0167.jpg,187,134,95,25.53,125.03,186.54,5.6
soil_0168.jpg,184,121,63,28.85,168.25,184.5,4.93
soil_0169.jpg,180,122,77,26.27,145.98,179.64,4.2
soil_0170.jpg,225,148,97,24.08,145.28,225.16,6.95
soil_0171.jpg,227,139,125,8.3,115.08,227.13,7.39
soil_0172.jpg,182,121,83,23.3,138.36,181.76,4.08
soil_0173.jpg,204,135,109,16.57,118.64,204.16,6.56
soil_0174.jpg,209,118,101,9.58,131.54,208.95,5.13
soil_0175.jpg,226,147,106,20.73,136.03,226.24,7.23
soil_0176.jpg,202,133,100,19.55,128.57,201.66,4.87
soil_0177.jpg,234,136,123,7.16,120.76,233.9,7.45
soil_0178.jpg,211,163,96,34.9,138.88,211.48,5.93
soil_0179.jpg,255,182,139,22.11,116.1,255.0,8.68
soil_0180.jpg,192,120,75,23.18,155.37,192.17,4.69
soil_0181.jpg,210,132,89,21.11,146.81,209.93,5.71
soil_0182.jpg,199,119,78,20.54,155.52,199.13,4.57
soil_0183.jpg,251,176,125,24.43,127.9,250.58,8.62
soil_0184.jpg,252,174,118,25.07,135.63,252.14,8.39
soil_0185.jpg,196,131,101,19.35,124.16,196.1,5.29
soil_0186.jpg,243,154,112,19.5,137.38,242.55,7.3
soil_0187.jpg,234,162,126,20.37,117.63,233.63,8.09
soil_0188.jpg,238,145,103,18.6,144.25,238.1,6.78
soil_0189.jpg,218,143,92,24.38,147.33,217.67,6.65
soil_0190.jpg,181,136,92,29.18,125.6,181.45,5.21
soil_0191.jpg,186,121,66,27.41,164.16,185.57,4.47
soil_0192.jpg,240,143,127,8.55,119.85,239.78,8.49
soil_0193.jpg,255,176,117,25.55,138.2,255.0,8.5
soil_0194.jpg,220,154,128,16.57,105.96,219.61,7.17
soil_0195.jpg,199,132,103,18.08,123.14,198.89,5.7
soil_0196.jpg,185,129,97,21.86,121.5,185.23,5.75
soil_0197.jpg,229,168,128,23.95,112.47,228.74,7.63
soil_0198.jpg,222,178,121,33.86,116.39,222.36,8.49
soil_0199.jpg,230,162,131,18.61,109.3,229.98,8.44
soil_0200.jpg,245,165,122,20.98,127.58,245.05,7.9
soil_0201.jpg,235,144,115,14.33,129.98,234.61,7.21
soil_0202.jpg,188,102,91,6.97,131.4,187.76,4.42
soil_0203.jpg,180,114,91,15.64,125.75,179.89,4.81
soil_0204.jpg,246,177,130,24.5,120.37,246.12,8.49
soil_0205.jpg,224,158,98,28.92,143.85,223.93,7.03
soil_0206.jpg,166,114,69,28.0,149.29,166.19,4.05
soil_0207.jpg,200,122,81,20.93,151.84,199.94,4.51
soil_0208.jpg,237,158,115,21.36,131.47,237.23,7.32
soil_0209.jpg,175,104,67,20.19,157.07,175.26,4.03
soil_0210.jpg,190,124,104,13.52,114.51,189.67,4.8
soil_0211.jpg,222,153,120,19.75,117.3,221.55,6.74
soil_0212.jpg,210,162,121,28.05,108.7,210.21,7.46
soil_0213.jpg,225,164,114,26.84,125.76,225.06,7.26
soil_0214.jpg,188,130,87,25.89,136.46,187.54,5.12
soil_0215.jpg,222,160,109,27.06,129.52,222.16,7.56
soil_0216.jpg,193,135,90,26.03,135.46,192.63,5.19
soil_0217.jpg,220,131,97,16.51,142.92,220.24,5.63
soil_0218.jpg,241,151,109,19.26,139.82,241.22,7.73
soil_0219.jpg,222,151,116,20.09,121.5,221.66,7.25
soil_0220.jpg,249,160,124,17.3,128.18,248.6,8.25
soil_0221.jpg,242,147,99,20.4,151.13,241.99,7.29
soil_0222.jpg,230,146,102,20.67,142.29,230.27,6.84
soil_0223.jpg,185,108,78,16.92,147.28,184.88,4.47
soil_0224.jpg,199,131,112,13.0,111.18,199.05,5.84
soil_0225.jpg,205,110,96,7.81,135.67,204.6,5.33
soil_0226.jpg,200,127,79,23.92,153.76,199.84,5.22
soil_0227.jpg,255,175,136,19.58,119.11,255.0,8.87
soil_0228.jpg,214,128,86,19.73,152.14,213.89,5.97
soil_0229.jpg,255,175,136,19.75,119.05,255.0,8.46
soil_0230.jpg,221,160,109,27.59,129.51,220.63,7.16
soil_0231.jpg,252,148,121,12.49,132.51,251.71,7.97
soil_0232.jpg,218,136,115,12.04,119.86,217.88,6.51
soil_0233.jpg,242,141,99,17.61,151.04,242.39,6.88
soil_0234.jpg,208,134,93,21.18,140.98,208.24,6.46
soil_0235.jpg,210,130,83,22.26,154.48,209.55,4.98
soil_0236.jpg,235,156,126,16.59,118.43,234.93,7.61
soil_0237.jpg,192,126,80,24.36,148.93,192.19,5.4
soil_0238.jpg,174,93,55,19.04,174.81,174.02,4.12
soil_0239.jpg,224,158,110,25.6,130.23,223.86,7.23
soil_0240.jpg,195,110,91,11.04,136.48,195.04,4.89
soil_0241.jpg,255,173,140,17.34,115.35,255.0,8.7
soil_0242.jpg,245,176,127,24.77,122.77,245.2,8.77
soil_0243.jpg,248,183,125,28.29,125.99,247.59,8.57
soil_0244.jpg,227,122,107,7.81,135.41,227.1,5.85
soil_0245.jpg,196,83,62,9.41,174.19,195.52,4.08
soil_0246.jpg,253,173,126,22.22,127.89,253.28,8.64
soil_0247.jpg,211,154,102,28.76,131.3,210.55,6.14
soil_0248.jpg,253,185,135,25.55,118.83,253.07,8.83
soil_0249.jpg,255,176,127,22.85,127.65,255.0,8.82
soil_0250.jpg,233,162,125,20.55,117.76,232.96,8.27
soil_0251.jpg,197,136,73,30.49,160.61,197.21,5.47
soil_0252.jpg,190,126,93,20.57,130.43,190.23,5.93
soil_0253.jpg,247,171,129,21.37,122.23,247.02,8.26
soil_0254.jpg,208,135,86,23.95,149.17,207.96,5.58
soil_0255.jpg,185,130,86,26.5,136.34,185.34,4.85
soil_0256.jpg,236,171,112,28.88,134.39,235.83,6.78
soil_0257.jpg,237,176,127,26.48,118.43,237.28,8.68
soil_0258.jpg,216,151,117,20.63,116.61,216.3,7.48
soil_0259.jpg,223,147,101,22.64,139.64,223.42,6.85
soil_0260.jpg,195,100,80,10.28,150.44,195.07,4.49
soil_0261.jpg,242,144,116,13.42,132.24,241.58,7.08
soil_0262.jpg,249,172,134,19.81,117.66,249.14,8.95
soil_0263.jpg,199,114,79,17.29,153.12,198.64,4.7
soil_0264.jpg,217,145,108,20.75,128.44,216.76,6.59
soil_0265.jpg,243,161,132,15.48,116.45,243.32,8.39
soil_0266.jpg,243,169,102,28.46,147.89,243.19,7.7
soil_0267.jpg,238,156,125,16.42,120.42,237.62,7.49
soil_0268.jpg,216,156,114,25.08,120.58,215.64,7.51
soil_0269.jpg,220,130,100,15.18,138.79,219.67,5.8
soil_0270.jpg,214,130,102,14.99,132.65,213.59,5.47
soil_0271.jpg,234,171,112,29.28,133.13,233.52,8.05
soil_0272.jpg,244,156,117,18.44,132.7,243.73,8.05
soil_0273.jpg,249,162,124,18.18,128.53,249.21,8.34
soil_0274.jpg,250,168,122,21.38,130.49,250.44,8.57
soil_0275.jpg,211,131,119,7.92,110.92,211.18,6.56
soil_0276.jpg,209,136,98,20.24,135.53,209.19,6.51
soil_0277.jpg,239,159,117,20.37,129.48,238.59,7.99
soil_0278.jpg,239,161,115,22.11,132.34,239.1,7.25
soil_0279.jpg,237,159,107,23.98,140.07,236.84,7.51
soil_0280.jpg,235,164,119,23.65,126.29,234.98,7.98
soil_0281.jpg,254,177,130,22.76,124.62,253.69,8.45
soil_0282.jpg,175,131,93,27.68,119.59,174.71,5.69
soil_0283.jpg,218,138,97,20.38,141.49,217.63,5.88
soil_0284.jpg,167,114,77,24.91,137.09,166.89,4.47
soil_0285.jpg,218,150,97,26.41,141.49,218.17,6.89
soil_0286.jpg,169,106,81,17.43,133.03,168.59,4.18
soil_0287.jpg,200,119,117,1.2,106.16,200.17,6.33
soil_0288.jpg,231,144,107,18.04,136.34,230.61,6.71
soil_0289.jpg,194,141,94,28.05,131.43,194.49,5.43
soil_0290.jpg,226,157,115,22.59,124.83,226.19,6.95
soil_0291.jpg,179,120,68,28.11,158.66,178.86,4.15
soil_0292.jpg,185,123,92,19.95,128.26,184.72,4.19
soil_0293.jpg,241,165,125,20.79,123.12,241.47,8.11
soil_0294.jpg,192,135,110,18.46,109.29,192.07,5.8
soil_0295.jpg,197,112,77,17.38,154.63,196.88,4.64
soil_0296.jpg,213,141,121,13.59,110.34,212.52,6.61
soil_0297.jpg,221,167,126,25.39,109.14,221.11,7.85
soil_0298.jpg,189,134,93,25.82,130.04,189.46,5.08
soil_0299.jpg,240,150,114,17.11,134.37,240.21,7.11
soil_0300.jpg,192,111,79,16.85,150.23,192.17,4.43
soil_0301.jpg,178,113,89,16.14,127.75,177.54,4.26
soil_0302.jpg,215,150,108,23.89,127.09,214.74,6.66
soil_0303.jpg,216,132,91,19.86,147.02,215.63,6.7
soil_0304.jpg,247,131,104,11.56,147.98,247.21,7.19
soil_0305.jpg,237,153,116,18.27,129.96,237.08,7.63
soil_0306.jpg,255,164,135,14.6,120.4,255.0,8.88
soil_0307.jpg,227,139,105,16.73,136.96,227.29,6.58
soil_0308.jpg,204,129,104,15.07,124.89,204.34,5.61
soil_0309.jpg,236,159,106,24.24,140.34,236.1,7.98
soil_0310.jpg,196,140,93,27.66,134.41,195.96,5.35
soil_0311.jpg,210,142,87,26.64,149.91,210.23,6.19
soil_0312.jpg,183,117,87,18.98,134.16,182.67,4.39
soil_0313.jpg,186,116,77,21.7,149.96,186.29,4.13
soil_0314.jpg,252,164,135,14.83,118.77,252.07,8.81
soil_0315.jpg,249,175,117,26.2,135.07,249.12,8.18
soil_0316.jpg,230,155,126,16.78,115.1,230.13,7.48
soil_0317.jpg,209,143,108,20.54,123.74,209.41,6.04
soil_0318.jpg,171,111,91,15.35,119.39,170.5,4.87
soil_0319.jpg,198,106,84,11.34,147.04,198.25,4.78
soil_0320.jpg,200,133,95,21.88,133.76,199.84,5.25
soil_0321.jpg,230,150,102,22.35,141.75,229.61,6.75
soil_0322.jpg,203,149,124,19.01,99.65,203.37,7.57
soil_0323.jpg,249,146,127,9.14,124.81,249.03,7.3
soil_0324.jpg,197,138,101,23.2,124.9,197.3,5.4
soil_0325.jpg,255,163,125,17.39,129.98,255.0,8.77
soil_0326.jpg,224,174,121,30.61,116.76,223.8,7.69
soil_0327.jpg,226,138,98,19.03,145.01,226.06,6.77
soil_0328.jpg,214,156,116,24.63,116.98,213.9,7.06
soil_0329.jpg,203,134,104,18.46,124.87,203.31,6.1
soil_0330.jpg,215,131,75,23.93,165.84,215.36,5.24
soil_0331.jpg,203,128,87,21.28,145.32,202.68,5.78
soil_0332.jpg,238,159,117,20.59,129.26,237.92,7.79
soil_0333.jpg,187,110,74,19.17,153.43,186.79,4.07
soil_0334.jpg,191,108,73,17.71,157.52,190.95,4.58
soil_0335.jpg,182,119,82,22.14,140.49,182.07,4.23
soil_0336.jpg,184,107,80,15.53,143.55,183.75,4.2
soil_0337.jpg,255,165,124,18.76,131.33,255.0,8.28
soil_0338.jpg,231,148,110,18.48,133.08,230.98,7.52
soil_0339.jpg,216,118,112,3.62,123.04,215.75,6.37
soil_0340.jpg,195,114,95,11.39,130.99,195.1,4.49
soil_0341.jpg,226,164,100,30.3,141.79,226.19,6.46
soil_0342.jpg,226,148,98,23.43,143.83,225.61,6.37
soil_0343.jpg,197,121,90,17.19,138.51,196.87,4.87
soil_0344.jpg,199,136,98,22.45,129.44,199.2,6.17
soil_0345.jpg,224,136,98,18.18,143.79,224.18,5.99
soil_0346.jpg,213,156,117,23.87,114.71,213.28,7.08
soil_0347.jpg,229,141,97,20.0,146.81,229.32,7.18
soil_0348.jpg,173,122,89,23.58,123.55,173.02,4.23
soil_0349.jpg,205,141,98,23.83,133.19,205.34,5.87
soil_0350.jpg,229,158,109,24.49,133.85,228.8,7.13
soil_0351.jpg,219,147,104,22.28,133.75,219.27,6.52
soil_0352.jpg,248,167,125,20.57,126.33,247.56,8.28
soil_0353.jpg,244,159,100,24.76,150.56,244.13,7.29
soil_0354.jpg,194,125,97,17.34,127.2,194.09,4.81
soil_0355.jpg,180,111,80,18.18,141.15,179.98,4.35
soil_0356.jpg,236,147,116,15.36,129.38,236.4,7.21
soil_0357.jpg,191,112,85,15.06,141.32,190.91,4.13
soil_0358.jpg,210,162,102,33.68,131.8,210.14,6.93
soil_0359.jpg,255,161,134,13.6,121.16,255.0,8.7
soil_0360.jpg,229,135,107,13.66,135.69,228.65,6.88
soil_0361.jpg,204,137,105,19.14,123.71,204.09,5.94
soil_0362.jpg,241,153,96,23.61,153.27,240.67,7.22
soil_0363.jpg,211,141,102,21.89,132.28,210.99,6.29
soil_0364.jpg,221,148,103,23.12,136.42,220.57,6.73
soil_0365.jpg,248,171,134,19.34,117.76,248.27,8.71
soil_0366.jpg,207,148,102,26.55,129.45,207.07,5.93
soil_0367.jpg,241,160,126,17.68,121.82,240.59,8.81
soil_0368.jpg,233,163,122,21.9,120.94,232.81,8.53
soil_0369.jpg,208,121,86,17.21,149.16,208.14,4.98
soil_0370.jpg,174,99,73,15.48,148.21,173.96,4.35
soil_0371.jpg,175,114,88,17.84,125.94,174.84,4.5
soil_0372.jpg,157,125,74,37.03,134.57,156.86,4.09
soil_0373.jpg,178,116,58,28.75,171.65,177.9,4.47
soil_0374.jpg,217,157,112,25.8,122.86,216.78,7.42
soil_0375.jpg,199,103,72,14.48,162.95,199.0,4.36
soil_0376.jpg,212,125,81,20.08,157.17,211.74,5.59
soil_0377.jpg,236,163,115,23.8,130.89,235.53,8.22
soil_0378.jpg,201,108,78,14.38,155.91,201.38,4.12
soil_0379.jpg,250,175,133,21.66,118.84,249.9,8.07
soil_0380.jpg,196,133,95,22.8,131.52,195.61,5.41
soil_0381.jpg,161,107,78,20.93,131.68,161.15,4.59
soil_0382.jpg,254,158,120,17.23,134.79,253.85,7.48
soil_0383.jpg,212,156,108,27.54,124.43,211.77,7.14
soil_0384.jpg,229,179,121,32.1,120.1,228.59,8.39
soil_0385.jpg,244,173,109,28.33,141.12,244.27,7.68
soil_0386.jpg,255,154,108,18.77,146.78,255.0,8.02
soil_0387.jpg,213,121,89,15.36,148.18,212.7,5.41
soil_0388.jpg,196,110,87,12.23,141.41,196.43,4.89
soil_0389.jpg,241,158,118,19.15,129.81,241.07,7.75
soil_0390.jpg,248,168,119,22.6,132.62,248.0,8.03
soil_0391.jpg,255,185,125,27.47,129.64,255.0,8.95
soil_0392.jpg,212,136,105,17.67,129.08,211.74,6.06
soil_0393.jpg,207,131,87,22.19,147.94,206.87,5.86
soil_0394.jpg,237,163,127,19.65,118.26,236.51,7.88
soil_0395.jpg,196,124,88,20.45,141.01,195.81,5.7
soil_0396.jpg,246,191,123,32.79,127.17,246.27,8.65
soil_0397.jpg,227,152,114,20.63,127.14,226.57,8.29
soil_0398.jpg,209,140,97,22.89,137.25,209.19,6.14
soil_0399.jpg,225,178,127,31.07,111.3,225.24,7.75
soil_0400.jpg,224,160,123,21.69,114.68,224.4,7.77
soil_0401.jpg,187,114,90,15.15,132.44,186.86,4.52
soil_0402.jpg,255,167,132,16.9,122.96,255.0,8.51
soil_0403.jpg,225,142,96,21.03,146.09,225.4,6.53
soil_0404.jpg,225,177,121,32.32,118.23,225.31,8.13
soil_0405.jpg,192,111,88,13.03,137.86,191.9,5.6
soil_0406.jpg,255,183,138,23.17,116.84,255.0,8.48
soil_0407.jpg,197,123,89,18.6,140.22,197.4,5.95
soil_0408.jpg,176,107,84,15.39,133.37,175.53,4.05
soil_0409.jpg,253,166,135,15.86,118.54,252.72,8.53
soil_0410.jpg,174,121,96,18.78,114.78,174.45,4.46
soil_0411.jpg,203,116,91,13.48,140.45,202.85,5.6
soil_0412.jpg,237,177,136,24.34,108.5,237.28,8.75
soil_0413.jpg,245,191,149,26.61,99.8,244.61,8.75
soil_0414.jpg,225,135,104,15.63,136.89,224.68,6.87
soil_0415.jpg,210,153,100,29.08,133.53,210.05,7.16
soil_0416.jpg,216,133,87,21.59,152.68,216.12,6.24
soil_0417.jpg,200,133,99,20.24,129.02,199.59,5.47
soil_0418.jpg,208,131,80,24.12,157.15,207.94,5.64
soil_0419.jpg,231,149,112,18.52,131.91,231.32,7.36
soil_0420.jpg,249,164,123,19.69,129.26,248.92,7.76
soil_0421.jpg,240,179,123,28.65,124.09,239.63,7.96
soil_0422.jpg,234,161,125,19.68,118.93,233.93,7.95
soil_0423.jpg,185,122,83,22.65,140.72,185.35,4.46
soil_0424.jpg,221,131,115,9.09,122.56,220.72,6.47
soil_0425.jpg,182,104,72,17.73,154.51,181.98,4.29
soil_0426.jpg,220,150,102,24.53,136.55,220.03,6.75
soil_0427.jpg,204,152,95,31.35,136.09,204.24,6.21
soil_0428.jpg,239,172,134,21.86,112.46,239.19,8.44
soil_0429.jpg,190,130,103,18.31,116.39,190.1,5.75
soil_0430.jpg,204,117,86,15.64,146.82,203.64,4.59
soil_0431.jpg,176,107,94,10.03,119.0,175.57,4.71
soil_0432.jpg,229,166,110,28.04,132.14,229.13,7.81
soil_0433.jpg,218,159,125,21.83,108.74,217.71,7.09
soil_0434.jpg,194,112,94,10.68,131.28,193.85,4.51
soil_0435.jpg,181,110,87,15.17,132.54,180.56,4.42
soil_0436.jpg,244,159,131,14.91,118.46,243.73,7.5
